Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
lola cosmetics meu cacho minha vida;BRL;260;-19%;-19%;Alto;100;0,34;1,06;;;;;;210;320;260;260;260;320;320;210;260;260;260;210
livre leve and solto lola;BRL;30;-67%;-80%;Alto;100;0,41;0,83;;;;;;30;30;40;30;40;40;50;30;30;30;20;10
meu cacho minha vida;BRL;1600;-19%;-19%;Alto;100;0,4;1,22;;;;;;1300;1900;1600;1600;1300;1900;1900;1600;1300;1600;1300;1300
lola meu cacho minha vida;BRL;880;0%;-12%;Alto;100;0,39;1,16;;;;;;880;1000;880;880;720;1000;1000;880;880;880;880;880
óleo iluminador;BRL;110;-18%;-36%;Alto;100;0,46;1,31;;;;;;170;170;210;170;90;110;70;90;110;110;110;90
shampoo liso leve and solto;BRL;50;75%;-22%;Alto;100;0,41;1,27;;;;;;90;50;70;50;50;50;70;50;70;40;40;70
lola danos vorazes booster;BRL;70;57%;∞;Alto;100;0,38;1,32;;;;;;0;0;0;70;90;50;70;70;90;70;140;110
kit liso leve e solto;BRL;50;-80%;-80%;Alto;100;0,27;0,8;;;;;;70;50;70;50;50;90;50;70;30;50;30;10
linha liso lola;BRL;30;-33%;-33%;Alto;100;0,38;0,77;;;;;;20;30;30;30;20;20;40;20;20;30;10;20
linha lola liso;BRL;70;-44%;-29%;Alto;100;0,25;0,8;;;;;;50;70;70;50;70;70;90;70;50;90;70;50
shampoo liso lola;BRL;50;-43%;-43%;Alto;100;0,49;1,19;;;;;;50;30;40;70;50;90;50;70;70;70;50;40
condicionador lola liso;BRL;40;0%;0%;Alto;100;0,32;0,95;;;;;;70;30;30;40;30;30;30;30;20;40;30;40
shampoo lola antifrizz liso leve and solto;BRL;30;-33%;0%;Alto;100;0,46;1,19;;;;;;20;10;20;30;30;30;30;30;30;30;40;20
shampoo lola liso leve e solto;BRL;90;40%;-36%;Alto;100;0,41;2,02;;;;;;110;140;140;110;90;110;90;90;70;50;90;70
shampoo leve e solto;BRL;110;-36%;-36%;Alto;100;0,31;1,01;;;;;;110;110;110;140;90;110;140;110;110;140;110;90
máscara lola liso leve e solto resenha;BRL;90;-18%;-47%;Alto;100;0,41;1,02;;;;;;110;110;70;50;30;110;90;70;50;110;90;90
liso leve and solto shampoo;BRL;20;0%;-33%;Alto;100;0,46;2,22;;;;;;30;20;20;20;30;30;10;20;10;20;20;20
meu cacho;BRL;140;-35%;0%;Alto;100;0,52;2,52;;;;;;110;140;170;140;90;140;140;140;110;170;170;110
shampoo lola cachos;BRL;390;23%;129%;Alto;100;0,39;1,44;;;;;;210;210;260;320;260;480;480;390;390;390;480;480
liso leve e solto lola resenha;BRL;140;27%;0%;Alto;100;0,12;0,95;;;;;;110;140;140;90;70;210;170;140;70;110;110;140
shampoo lola danos vorazes;BRL;40;0%;∞;Alto;100;0,64;1,69;;;;;;0;0;0;90;30;50;40;50;50;50;70;50
spray lola liso leve e solto;BRL;210;-65%;29%;Alto;100;0,27;1,28;;;;;;90;170;170;170;260;320;320;260;260;260;170;90
lola shampoo cachos;BRL;20;-33%;0%;Alto;100;0,4;1,94;;;;;;20;10;30;20;20;30;40;30;20;30;20;20
lola liso leve e solto resenha;BRL;170;-36%;-57%;Alto;100;0,14;0,67;;;;;;210;320;260;210;110;90;110;70;110;140;260;90
liso leve and solto resenha;BRL;30;-50%;-71%;Alto;93;;;;;;;;30;70;30;30;50;30;40;40;20;40;20;20
danos vorazes lola cosmetics;BRL;70;50%;∞;Alto;100;0,37;0,93;;;;;;0;0;480;170;50;50;20;30;30;20;20;30
resenha lola liso leve e solto;BRL;20;0%;-50%;Alto;100;;;;;;;;30;20;30;10;10;20;30;20;20;10;10;10
shampoo danos vorazes;BRL;40;-25%;∞;Alto;100;0,56;1,73;;;;;;0;0;0;50;70;50;50;50;50;40;50;30
lola cosmetics liso leve and solto resenha;BRL;20;-50%;-75%;Alto;100;;;;;;;;20;30;20;20;10;10;10;10;10;20;10;10
lola meu cacho minha vida kit;BRL;20;0%;0%;Alto;100;0,26;0,79;;;;;;10;10;20;10;10;30;50;40;20;20;10;20
meu cacho lola;BRL;40;0%;0%;Alto;100;0,35;0,91;;;;;;30;40;50;30;30;50;50;50;30;40;50;40
lola meu cacho;BRL;30;0%;0%;Alto;100;0,51;1,25;;;;;;20;40;40;30;30;50;40;50;30;30;30;30
danos vorazes booster;BRL;30;-40%;∞;Alto;100;0,44;1,19;;;;;;0;0;0;70;50;20;40;30;70;50;40;30
lola liso leve and solto resenha;BRL;50;-20%;-64%;Alto;100;0,14;3,05;;;;;;70;50;50;70;70;50;20;40;50;50;50;40
meu cacho minha vida lola cosmetics;BRL;30;-50%;-50%;Alto;100;0,42;1,37;;;;;;20;40;50;30;30;30;20;20;10;40;20;20
spray liso leve e solto;BRL;70;0%;-29%;Alto;100;0,38;1,37;;;;;;70;90;110;70;70;110;90;50;50;50;50;50
resenha liso leve and solto lola;BRL;10;0%;0%;Alto;100;;;;;;;;20;20;30;20;30;10;20;10;10;10;10;10
spray antifrizz lola liso leve and solto;BRL;20;0%;-67%;Alto;100;0,22;0,98;;;;;;20;20;30;10;20;10;20;10;10;10;10;10
lola spray liso;BRL;50;-40%;-67%;Alto;100;0,59;1,1;;;;;;70;110;50;40;50;70;90;50;40;50;40;30
lola cosmetics spray;BRL;90;-36%;80%;Alto;100;0,33;1,21;;;;;;30;50;170;90;70;70;90;110;70;140;50;90
shampoo lola liso leve e solto resenha;BRL;50;0%;40%;Alto;100;0,51;1,3;;;;;;40;40;50;70;70;50;30;50;50;70;90;70
linha lola meu cacho minha vida;BRL;40;-67%;-80%;Alto;100;0,3;0,63;;;;;;70;50;90;70;10;30;40;30;30;30;10;10
spray antifrizz liso lola leve and solto;BRL;70;100%;-20%;Alto;100;0,31;1,19;;;;;;50;70;90;70;70;110;170;110;50;20;30;40
kit lola liso leve and solto resenha;BRL;20;0%;-67%;Alto;100;;;;;;;;40;50;20;10;10;10;20;10;10;10;10;10
kit lola cosmetics meu cacho minha vida;BRL;50;75%;133%;Alto;100;0,43;1,29;;;;;;30;50;50;40;20;50;50;50;70;40;50;70
lola meu cacho minha vida mascara;BRL;20;-50%;-67%;Alto;99;0,39;0,66;;;;;;10;40;20;30;20;20;20;10;20;20;10;10
lola cosmetics danos vorazes;BRL;210;0%;∞;Alto;100;0,38;1,28;;;;;;0;0;260;590;320;260;170;170;210;210;320;210
meu cacho minha vida lola;BRL;390;-18%;-18%;Alto;100;0,39;1,06;;;;;;480;480;390;390;320;390;480;390;320;390;320;320
lola antifrizz;BRL;320;-19%;0%;Alto;100;0,44;1,2;;;;;;260;260;260;260;390;320;390;390;320;320;320;260
lola liso leve and solto spray;BRL;320;-33%;-19%;Alto;100;0,33;1,07;;;;;;140;90;140;170;210;590;720;720;390;390;320;260
spray liso leve and solto;BRL;40;33%;-43%;Alto;100;0,4;1,19;;;;;;20;30;40;20;50;40;40;30;30;30;30;40
spray liso lola;BRL;110;-18%;0%;Alto;100;0,43;0,95;;;;;;110;140;110;90;110;140;170;170;110;110;110;90
lola meus cachos minha vida;BRL;110;-36%;-22%;Alto;100;0,36;0,95;;;;;;140;90;110;90;90;110;140;110;140;110;90;70
spray liso leve solto lola resenha;BRL;20;100%;-50%;Alto;94;0,21;1,68;;;;;;20;20;20;30;20;20;30;30;30;10;10;20
