Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
protetor solar fator;BRL;210;86%;-19%;Alto;100;0,9;3,28;;;;;;390;260;320;320;170;140;170;110;110;140;210;260
filtro solar fps;BRL;30;0%;0%;Alto;100;1,12;3,09;;;;;;30;30;40;20;30;30;50;20;30;30;30;30
qual a diferença dos protetores solares;BRL;20;0%;0%;Alto;97;0,2;3,17;;;;;;20;20;20;30;10;10;10;10;10;10;20;10
uso protetor solar;BRL;40;0%;-20%;Médio;40;0,6;2,46;;;;;;50;70;50;50;30;50;50;30;30;40;50;40
protetores solares;BRL;2400;89%;24%;Alto;100;0,71;3,28;;;;;;3600;4400;2900;2900;1900;1900;1900;1900;1900;1900;2400;3600
protetor solar natural;BRL;1600;19%;0%;Alto;100;0,5;2,84;;;;;;1900;1900;1600;1600;1300;1600;1300;1300;1300;1600;2400;1900
protetor solar fps;BRL;260;24%;-19%;Alto;100;1,11;3,18;;;;;;260;320;260;320;210;260;210;170;210;210;260;260
qual o protetor solar;BRL;50;40%;40%;Alto;100;0,72;3,25;;;;;;40;30;50;50;50;40;50;50;50;50;70;70
protetores solares naturais;BRL;30;150%;67%;Alto;100;0,57;2,89;;;;;;20;50;30;30;30;40;40;20;30;20;40;50
filtro solar x protetor solar;BRL;20;0%;-33%;Médio;55;0,18;1,15;;;;;;30;30;20;40;20;30;20;20;20;20;30;20
protetor solar químico;BRL;90;0%;0%;Alto;100;0,9;3,16;;;;;;70;110;90;90;70;110;110;90;70;110;140;110
protetor solar com fps;BRL;20;-67%;-50%;Alto;100;0,94;3,27;;;;;;20;20;20;50;20;30;30;30;10;30;30;10
protetor solar vegetal;BRL;20;0%;0%;Alto;100;0,53;3,28;;;;;;20;20;20;10;30;10;20;10;10;20;30;20
protetores solar fisicos;BRL;4400;0%;0%;Alto;100;0,95;2,44;;;;;;4400;5400;3600;4400;2900;2900;3600;2900;2900;5400;8100;5400
solar protetor solar;BRL;20;300%;100%;Alto;100;0,79;3,29;;;;;;20;40;10;40;10;30;20;20;20;10;30;40
